address,type,name,namespace,source
0006245c,Function,_entry,Global,USER_DEFINED
.image::00000000,Label,IMG_00000000_MZ_HEADER,Global,USER_DEFINED
.image::0000f474,Label,IMG_0000F474_DOS16_HEADER,Global,USER_DEFINED
.image::00026654,Label,IMG_00026654_MZ_HEADER,Global,USER_DEFINED
.image::000290a4,Label,IMG_000290A4_LE_HEADER,Global,USER_DEFINED
